
Total rows (correct): 419
('序号', '位置(上/下)', '焊脚尺寸hf(mm)', '焊缝长度(mm)', '备注', '零件1', '零件2', '构件号', '备注', None)
(1, 'Above', 12, 461, None, 'BE018', 'p53', 'BE018', None, None)
(2, 'Below', 12, 461, None, 'BE018', 'p53', 'BE018', None, None)
(3, 'Above', 12, 300, None, 'BE018', 'p118', 'BE018', None, None)
(4, 'Below', 12, 300, None, 'BE018', 'p118', 'BE018', None, None)
(5, 'Above', 7, 220, None, 'BE018', 'p118', 'BE018', None, None)
(6, 'Below', 7, 220, None, 'BE018', 'p118', 'BE018', None, None)
(7, 'Above', 12, 300, None, 'BE018', 'p118', 'BE018', None, None)
(8, 'Below', 12, 300, None, 'BE018', 'p118', 'BE018', None, None)
(9, 'Above', 7, 140, None, 'p52', 'p53', 'BE018', None, None)
(10, 'Below', 7, 140, None, 'p52', 'p53', 'BE018', None, None)
(11, 'Above', 7, 140, None, 'BE018', 'p52', 'BE018', None, None)
(12, 'Below', 7, 140, None, 'BE018', 'p52', 'BE018', None, None)
(13, 'Above', 7, 39, None, 'BE018', 'p52', 'BE018', None, None)
(14, 'Below', 7, 39, None, 'BE018', 'p52', 'BE018', None, None)
(15, 'Above', 12, 429, None, 'BE019', 'p176', 'BE019', None, None)
(16, 'Below', 12, 429, None, 'BE019', 'p176', 'BE019', None, None)
(17, 'Above', 12, 300, None, 'BE019', 'p118', 'BE019', None, None)
(18, 'Below', 12, 300, None, 'BE019', 'p118', 'BE019', None, None)
(19, 'Above', 7, 220, None, 'BE019', 'p118', 'BE019', None, None)
(20, 'Below', 7, 220, None, 'BE019', 'p118', 'BE019', None, None)
(21, 'Above', 12, 300, None, 'BE019', 'p118', 'BE019', None, None)
(22, 'Below', 12, 300, None, 'BE019', 'p118', 'BE019', None, None)
(23, 'Above', 7, 140, None, 'p176', 'p52', 'BE019', None, None)
(24, 'Below', 7, 140, None, 'p176', 'p52', 'BE019', None, None)
(25, 'Above', 7, 140, None, 'BE019', 'p52', 'BE019', None, None)
(26, 'Below', 7, 140, None, 'BE019', 'p52', 'BE019', None, None)
(27, 'Above', 7, 39, None, 'BE019', 'p52', 'BE019', None, None)
(28, 'Below', 7, 39, None, 'BE019', 'p52', 'BE019', None, None)
(29, 'Above', 12, 300, None, 'BE020', 'p118', 'BE020', None, None)
(30, 'Below', 12, 300, None, 'BE020', 'p118', 'BE020', None, None)
(31, 'Above', 7, 220, None, 'BE020', 'p118', 'BE020', None, None)
(32, 'Below', 7, 220, None, 'BE020', 'p118', 'BE020', None, None)
(33, 'Above', 12, 300, None, 'BE020', 'p118', 'BE020', None, None)
(34, 'Below', 12, 300, None, 'BE020', 'p118', 'BE020', None, None)
(35, 'Above', 7, 140, None, 'p175', 'p52', 'BE020', None, None)
(36, 'Below', 7, 140, None, 'p175', 'p52', 'BE020', None, None)
(37, 'Above', 7, 140, None, 'BE020', 'p52', 'BE020', None, None)
(38, 'Below', 7, 140, None, 'BE020', 'p52', 'BE020', None, None)
(39, 'Above', 7, 39, None, 'BE020', 'p52', 'BE020', None, None)
(40, 'Below', 7, 39, None, 'BE020', 'p52', 'BE020', None, None)
(41, 'Above', 7, 140, None, 'p175', 'p52', 'BE020', None, None)
(42, 'Below', 7, 140, None, 'p175', 'p52', 'BE020', None, None)
(43, 'Above', 7, 140, None, 'BE020', 'p52', 'BE020', None, None)
(44, 'Below', 7, 140, None, 'BE020', 'p52', 'BE020', None, None)
(45, 'Above', 7, 39, None, 'BE020', 'p52', 'BE020', None, None)
(46, 'Below', 7, 39, None, 'BE020', 'p52', 'BE020', None, None)
(47, 'Above', 12, 445, None, 'BE020', 'p175', 'BE020', None, None)
(48, 'Below', 12, 445, None, 'BE020', 'p175', 'BE020', None, None)
(49, 'Above', 12, 445, None, 'BE020', 'p175', 'BE020', None, None)
(50, 'Below', 12, 445, None, 'BE020', 'p175', 'BE020', None, None)
(51, 'Above', 6, 172, None, 'BE021', 'p122', 'BE021', None, None)
(52, 'Below', 6, 172, None, 'BE021', 'p122', 'BE021', None, None)
(53, 'Above', None, 250, None, 'BE021', 'p122', 'BE021', 'CJP', None)
(54, 'Below', 12, 250, None, 'BE021', 'p122', 'BE021', None, None)
(55, 'Above', 12, 250, None, 'BE021', 'p122', 'BE021', None, None)
(56, 'Below', 12, 250, None, 'BE021', 'p122', 'BE021', None, None)
(57, 'Above', 8, 155, None, 'BE021', 'p123', 'BE021', None, None)
(58, 'Below', 8, 155, None, 'BE021', 'p123', 'BE021', None, None)
(59, 'Above', 8, 60, None, 'p123', 'p122', 'BE021', None, None)
(60, 'Below', 8, 60, None, 'p123', 'p122', 'BE021', None, None)
(61, 'Above', 6, 172, None, 'BE021', 'p122', 'BE021', None, None)
(62, 'Below', 6, 172, None, 'BE021', 'p122', 'BE021', None, None)
(63, 'Above', None, 250, None, 'BE021', 'p122', 'BE021', 'CJP', None)
(64, 'Below', 12, 250, None, 'BE021', 'p122', 'BE021', None, None)
(65, 'Above', 12, 250, None, 'BE021', 'p122', 'BE021', None, None)
(66, 'Below', 12, 250, None, 'BE021', 'p122', 'BE021', None, None)
(67, 'Above', 8, 155, None, 'BE021', 'p123', 'BE021', None, None)
(68, 'Below', 8, 155, None, 'BE021', 'p123', 'BE021', None, None)
(69, 'Above', 8, 60, None, 'p123', 'p122', 'BE021', None, None)
(70, 'Below', 8, 60, None, 'p123', 'p122', 'BE021', None, None)
(71, 'Above', 12, 534, None, 'BE022', 'p19', 'BE022', None, None)
(72, 'Below', 12, 534, None, 'BE022', 'p19', 'BE022', None, None)
(73, 'Above', 12, 534, None, 'BE022', 'p19', 'BE022', None, None)
(74, 'Below', 12, 534, None, 'BE022', 'p19', 'BE022', None, None)
(75, 'Above', None, 140, None, 'BE022', 'p200', 'BE022', 'CJP', None)
(76, 'Below', 7, 140, None, 'BE022', 'p200', 'BE022', None, None)
(77, 'Above', None, 270, None, 'BE022', 'p200', 'BE022', 'CJP', None)
(78, 'Below', 7, 270, None, 'BE022', 'p200', 'BE022', None, None)
(79, 'Above', None, 140, None, 'BE022', 'p200', 'BE022', 'CJP', None)
(80, 'Below', 7, 140, None, 'BE022', 'p200', 'BE022', None, None)
(81, 'Above', 6, 200, None, 'BE022', 'p26', 'BE022', None, None)
(82, 'Below', 6, 200, None, 'BE022', 'p26', 'BE022', None, None)
(83, 'Above', 7, 140, None, 'p19', 'p18', 'BE022', None, None)
(84, 'Below', 7, 140, None, 'p19', 'p18', 'BE022', None, None)
(85, 'Above', 7, 140, None, 'BE022', 'p18', 'BE022', None, None)
(86, 'Below', 7, 140, None, 'BE022', 'p18', 'BE022', None, None)
